energy_PerServing,carbohydrates_PerServing,sugars_PerServing,fiber_PerServing,proteins_PerServing,sodium_PerServing,totalFat_PerServing,product_name,serving_size_grams
418.32,0.9996,0,0,7,0.16996,13.0004,Monterey Jack,28
209.2,11,10,0,0,0,0,Strawberry Preserves,20
375.82,19.9993,1.0019,4.988,3.999,0.13502,1.0019,Sandwich Slims,43
0,0,0,0,0,0.23,0,Celery Salt,0.7
0,0,0,0,0,0.45,0,Garlic Salt Seasoning,1.3
0,0,0,0,0,0.19,0,Flavored Lemon Pepper Seasoning,1
0,0,0,0,0,0.13,0,Cajun Seasoning,0.6
0,0,0,0,0,0.15,0,"Grill Time, Steak Seasoning",0.8
0,0,0,0,0,0.42,0,Onion Salt,1.2
0,0,0,0,0,0.38,0,Seasoned Salt,1.2
0,0,0,0,0,0.22,0,Seasoned Meat Tenderizer,0.75
0,0,0,0,0,0.08,0,Lemon Pepper,0.7
0,0,0,0,0,0.19,0,Garlic Salt,0.8
62.76,2.0001,2.0001,0,0,0,1.9998,Whipped Topping Mix,3
752.42,10.999,7.0006,2.006,6.001,0.12988,15.5006,Roasted Peanuts And Honey,34
502.2,24.999,3.999,0.99,2.001,0.18,0.999,Honey Wheat Braided Pretzels,30
502.6,21,8.9992,1.008,1.9992,0.12012,4.4996,"Cookies, Ginger Snaps",28
543.6,24.999,14.001,0.99,0.999,0.1299,3,"Reduced Fat Wafers, Vanilla",30
208.95,1.0005,0,0,0,0.105,6,Mayo,15
167.11,3.0005,3.0005,0,0,0.13005,4.0001,Classic Whip,17
919.82,43.0014,7.9994,1.036,6.0014,0.19018,4.5066,Jumbo Hamburger Enriched Buns,74
752.5,35,3.997,0.98,7,0.3297,1.498,Pub Style Rolls Pretzel,70
1089,50.0049,5.9994,1.98,9.999,0.47025,2.5047,Pretzel Soft Authentic Sandwich Rolls,99
668.92,7.9996,0.9996,1.008,5.0008,0.12012,15.5008,Salted Cashews Halves & Pieces,28
668.92,7.9996,0.9996,1.008,5.0008,0.05992,15.5008,"Halves & Pieces Cashews, Lightly Salted",28
668.92,7.9996,0.9996,1.008,5.0008,0,16.5004,Unsalted Whole Cashews,28
668.92,7.9996,0.9996,1.008,5.0008,0.12012,15.5008,Salted Cashews Halves & Pieces,28
711.2,5.0008,0.9996,1.988,6.0004,0.12012,16.9988,Salted Mixed Nuts,28
