Activity (1 hour),Calories Per Lb,Is Indoor
"Aerobics, general",2.95,YES
"Aerobics, high impact",3.178,YES
"Aerobics, low impact",2.272,YES
"Aerobics, step aerobics",3.861,YES
Archery,1.589,NO
"Backpacking, Hiking with pack",3.178,NO
Badminton,2.044,YES
"Bagging grass, leaves",1.817,NO
"Ballet, twist, jazz, tap",2.044,YES
"Ballroom dancing, fast",2.494,YES
"Ballroom dancing, slow",1.361,YES
"Basketball game, competitive",3.633,NO
"Basketball, officiating",3.178,NO
"Basketball, shooting baskets",2.044,NO
"Basketball, wheelchair",2.95,NO
Bathing dog,1.589,NO
Billiards,1.133,YES
Bird watching,1.133,NO
"Boating, power, speed boat",1.133,NO
Bowling,1.361,YES
"Boxing, in ring",5.45,YES
"Boxing, punching bag",2.722,YES
"Boxing, sparring",4.083,YES
"Calisthenics, light",1.589,YES
"Calisthenics, vigorous, pushups, situps…",3.633,YES
"Canoeing, camping trip",1.817,NO
"Canoeing, rowing, light",1.361,NO
"Canoeing, rowing, moderate",3.178,NO
"Canoeing, rowing, vigorous",5.45,NO
"Carpentry, general",1.589,YES
"Carrying 16 to 24 lbs, upstairs",2.722,YES
"Carrying 25 to 49 lbs, upstairs",3.633,YES
Carrying heavy loads,3.633,YES
"Carrying infant, level ground",1.589,YES
"Carrying infant, upstairs",2.272,YES
Carrying moderate loads upstairs,3.633,YES
Carrying small children,1.361,YES
"Children's games, hopscotch, dodgeball",2.272,NO
"Circuit training, minimal rest",3.633,YES
Cleaning gutters,2.272,NO
"Cleaning, dusting",1.133,YES
"Climbing hills, carrying 10 to 20 lb",3.406,NO
"Climbing hills, carrying 21 to 42 lb",3.633,NO
"Climbing hills, carrying over 42 lb",4.083,NO
"Climbing hills, carrying up to 9 lbs",3.178,NO
"Coaching: football, basketball, soccer…",1.817,NO
"Crew, sculling, rowing, competition",5.45,NO
"Cricket (batting, bowling)",2.272,NO
Croquet,1.133,NO
"Cross country skiing, moderate",3.633,NO
"Cross country skiing, racing",6.356,NO
"Cross country skiing, uphill",7.489,NO
"Cross country skiing, vigorous",4.083,NO
"Cross country snow skiing, slow",3.178,NO
Curling,1.817,YES
"Cycling, <10 mph, leisure bicycling",1.817,NO
"Cycling, >20 mph, racing",7.267,NO
"Cycling, 10-11.9 mph, light",2.722,NO
"Cycling, 12-13.9 mph, moderate",3.633,NO
"Cycling, 14-15.9 mph, vigorous",4.539,NO
"Cycling, 16-19 mph, very fast, racing",5.45,NO
"Cycling, mountain bike, bmx",3.861,NO
Darts (wall or lawn),1.133,YES
"Diving, springboard or platform",1.361,NO
"Downhill snow skiing, moderate",2.722,NO
"Downhill snow skiing, racing",3.633,NO
Fencing,2.722,YES
"Football or baseball, playing catch",1.133,NO
"Football, competitive",4.083,NO
"Football, touch, flag, general",3.633,NO
"Frisbee playing, general",1.361,NO
"Frisbee, ultimate frisbee",3.633,NO
"Gardening, general",1.817,NO
General cleaning,1.589,YES
General housework,1.589,YES
"Golf, driving range",1.361,NO
"Golf, general",2.044,NO
"Golf, miniature golf",1.361,NO
"Golf, using power cart",1.589,NO
"Golf, walking and carrying clubs",2.044,NO
"Golf, walking and pulling clubs",1.95,NO
Gymnastics,1.817,YES
Hacky sack,1.817,NO
Handball,5.45,YES
"Handball, team",3.633,YES
Health club exercise,2.494,YES
"Hiking, cross country",2.722,NO
"Hockey, field hockey",3.633,NO
"Hockey, ice hockey",3.633,YES
"Horesback riding, saddling horse",1.589,NO
"Horse grooming, moderate",2.722,NO
"Horse racing, galloping",3.633,NO
"Horseback riding, grooming horse",1.589,NO
"Horseback riding, trotting",2.95,NO
"Horseback riding, walking",1.133,NO
Horseshoe pitching,1.361,NO
"Ice skating, < 9 mph",2.494,NO
"Ice skating, average speed",3.178,NO
"Ice skating, rapidly",4.083,NO
Instructing aerobic class,2.722,YES
Jai alai,5.45,YES
Jazzercise,2.722,YES
Juggling,1.817,YES
"Jumping rope, fast",5.45,YES
"Jumping rope, moderate",4.539,YES
"Jumping rope, slow",3.633,YES
Kayaking,2.272,NO
Kickball,3.178,NO
Krav maga training,4.539,YES
Lacrosse,3.633,NO
"Loading, unloading car",1.361,NO
"Marching, rapidly, military",2.95,NO
"Martial arts, judo, karate, jujitsu",4.539,YES
"Martial arts, kick boxing",4.539,YES
"Martial arts, tae kwan do",4.539,YES
Mild stretching,1.133,YES
"Mowing lawn, riding mower",1.133,NO
"Mowing lawn, walk, power mower",2.494,NO
Orienteering,4.083,NO
Paddle boat,1.817,NO
"Paddleball, competitive",4.539,NO
Painting,2.044,YES
"Playing basketball, non game",2.722,NO
Playing paddleball,2.722,NO
Playing racquetball,3.178,YES
Playing soccer,3.178,NO
Playing tennis,3.178,NO
Playing volleyball,1.361,NO
Polo,3.633,NO
Pushing a wheelchair,1.817,YES
Pushing stroller or walking with children,1.133,NO
Race walking,2.95,NO
"Racquetball, competitive",4.539,YES
Raking lawn,1.95,NO
"Riding a horse, general",1.817,NO
"Riding, snow blower",1.361,NO
"Rock climbing, ascending rock",4.994,NO
"Rock climbing, mountain climbing",3.633,NO
"Rock climbing, rappelling",3.633,NO
"Roller blading, in-line skating",5.45,NO
Roller skating,3.178,NO
"Rowing machine, light",1.589,YES
"Rowing machine, moderate",3.178,YES
"Rowing machine, very vigorous",5.45,YES
"Rowing machine, vigorous",3.861,YES
Rugby,4.539,NO
"Running, 10 mph (6 min mile)",7.267,NO
"Running, 10.9 mph (5.5 min mile)",8.172,NO
"Running, 5 mph (12 minute mile)",3.633,NO
"Running, 5.2 mph (11.5 minute mile)",4.083,NO
"Running, 6 mph (10 min mile)",4.539,NO
"Running, 6.7 mph (9 min mile)",4.994,NO
"Running, 7 mph (8.5 min mile)",5.222,NO
"Running, 7.5mph (8 min mile)",5.678,NO
"Running, 8 mph (7.5 min mile)",6.128,NO
"Running, 8.6 mph (7 min mile)",6.356,NO
"Running, 9 mph (6.5 min mile)",6.811,NO
"Running, cross country",4.083,NO
"Running, general",3.633,NO
"Running, on a track, team practice",4.539,NO
"Running, stairs, up",6.811,NO
"Running, training, pushing wheelchair",3.633,NO
"Sailing, competition",2.272,NO
"Sailing, yachting, ocean sailing",1.361,NO
Shoveling snow by hand,2.722,NO
"Shuffleboard, lawn bowling",1.361,NO
"Sit, playing with animals",1.133,NO
Skateboarding,2.272,NO
Ski machine,3.178,NO
Ski mobiling,3.178,NO
"Skiing, water skiing",2.722,NO
"Skin diving, fast",7.267,NO
"Skin diving, moderate",5.678,NO
"Skin diving, scuba diving",3.178,NO
Sky diving,1.361,NO
"Sledding, tobagganing, luge",3.178,NO
Snorkeling,2.272,NO
Snow shoeing,3.633,NO
"Snow skiing, downhill skiing, light",2.272,NO
Snowmobiling,1.589,NO
"Soccer, competitive",4.539,NO
Softball or baseball,2.272,NO
"Softball, officiating",1.817,NO
"Softball, pitching",2.722,NO
"Speed skating, ice, competitive",6.811,NO
Squash,5.45,YES
Stair machine,4.083,YES
"Standing, playing with children, light",1.272,YES
"Stationary cycling, light",2.494,YES
"Stationary cycling, moderate",3.178,YES
"Stationary cycling, very light",1.361,YES
"Stationary cycling, very vigorous",5.678,YES
"Stationary cycling, vigorous",4.767,YES
"Stretching, hatha yoga",1.817,YES
"Surfing, body surfing or board surfing",1.361,NO
Swimming backstroke,3.178,YES
Swimming breaststroke,4.539,YES
Swimming butterfly,4.994,YES
"Swimming laps, freestyle, fast",4.539,YES
"Swimming laps, freestyle, slow",3.178,YES
"Swimming leisurely, not laps",2.722,YES
Swimming sidestroke,3.633,YES
Swimming synchronized,3.633,YES
"Swimming, treading water, fast, vigorous",4.539,YES
"Swimming, treading water, moderate",1.817,YES
"Table tennis, ping pong",1.817,YES
Tai chi,1.817,YES
Taking out trash,1.361,YES
"Teach physical education,exercise class",1.817,YES
"Tennis, doubles",2.722,NO
"Tennis, singles",3.633,NO
"Track and field (high jump, pole vault)",2.722,NO
Track and field (hurdles),4.539,NO
"Track and field (shot, discus)",1.817,NO
Trampoline,1.589,YES
Unicycling,2.272,NO
"Volleyball, beach",3.633,NO
"Volleyball, competitive",3.633,NO
"Walk / run, playing with animals",1.817,NO
"Walk/run, playing with children, moderate",1.817,NO
"Walk/run, playing with children, vigorous",2.272,NO
"Walking 2.0 mph, slow",1.133,NO
Walking 2.5 mph,1.361,NO
"Walking 3.0 mph, moderate",1.5,NO
"Walking 3.5 mph, brisk pace",1.728,NO
"Walking 3.5 mph, uphill",2.722,NO
"Walking 4.0 mph, very brisk",2.272,NO
Walking 4.5 mph,2.861,NO
Walking 5.0 mph,3.633,NO
Walking downstairs,1.361,NO
Walking the dog,1.361,NO
Walking using crutches,2.272,NO
"Walking, pushing a wheelchair",1.817,NO
"Walking, snow blower",1.589,NO
"Walking, under 2.0 mph, very slow",0.906,NO
Wallyball,3.178,YES
Water aerobics,1.817,NO
"Water aerobics, water calisthenics",1.817,NO
Water jogging,3.633,NO
Water polo,4.539,NO
Water volleyball,1.361,NO
Watering lawn or garden,0.683,NO
"Weeding, cultivating garden",2.044,NO
"Weight lifting, body building, vigorous",2.722,YES
"Weight lifting, light workout",1.361,YES
"Whitewater rafting, kayaking, canoeing",2.272,NO
"Windsurfing, sailing",1.361,NO
Wrestling,2.722,YES
